time_period,time_identifier,geographic_level,country_code,country_name,breakdown_topic,breakdown,progression_rate,high_tariff_progression_rate,number_of_he_students,number_of_high_tariff_he_students,number_of_students
201920,Academic year,National,E92000001,England,Ethnicity Minor,Traveller of Irish Heritage,10.7,3.3,13,4,122
201920,Academic year,National,E92000001,England,Ethnicity Minor,Gypsy / Roma,6.9,0.4,79,5,1141
201920,Academic year,National,E92000001,England,Ethnicity Minor,Any Other White Background,47.5,14.2,11787,3530,24833
201920,Academic year,National,E92000001,England,Ethnicity Minor,White and Black Caribbean,35.6,8.0,2551,573,7169
201920,Academic year,National,E92000001,England,Ethnicity Minor,White and Black African,51.4,12.0,1379,322,2685
201920,Academic year,National,E92000001,England,Ethnicity Minor,White and Asian,56.7,21.2,2896,1082,5105
201920,Academic year,National,E92000001,England,Ethnicity Minor,Any other Mixed / Multiple ethnic background,51.4,17.0,4067,1348,7917
201920,Academic year,National,E92000001,England,Ethnicity Minor,Indian,71.7,23.5,10082,3299,14056
201920,Academic year,National,E92000001,England,Ethnicity Minor,Pakistani,57.1,10.0,11660,2050,20431
201920,Academic year,National,E92000001,England,Ethnicity Minor,Bangladeshi,64.5,16.0,5365,1331,8324
201920,Academic year,National,E92000001,England,Ethnicity Minor,Any Other Asian Background,69.4,20.7,5846,1744,8421
201920,Academic year,National,E92000001,England,Ethnicity Minor,Caribbean,43.6,6.2,3149,449,7222
201920,Academic year,National,E92000001,England,Ethnicity Minor,African,67.7,13.2,11756,2291,17364
201920,Academic year,National,E92000001,England,Ethnicity Minor,Any other Black / African / Caribbean background,54.4,9.4,1827,317,3359
201920,Academic year,National,E92000001,England,Ethnicity Minor,Chinese,80.9,40.2,1643,816,2032
201920,Academic year,National,E92000001,England,Ethnicity Minor,Any Other Ethnic Group,58.7,15.4,4816,1267,8209
201920,Academic year,National,E92000001,England,Ethnicity Minor,Unknown,43.7,14.3,2157,705,4931
201920,Academic year,National,E92000001,England,POLAR,Q1 - Most Disadvantaged,27.9,5.0,29803,5363,106722
201920,Academic year,National,E92000001,England,POLAR,Q2,36.4,7.9,39186,8554,107668
201920,Academic year,National,E92000001,England,POLAR,Q3,43.0,10.7,46371,11490,107781
201920,Academic year,National,E92000001,England,POLAR,Q4,49.9,14.9,55144,16496,110456
201920,Academic year,National,E92000001,England,POLAR,Q5 - Most Advantaged,58.3,23.2,62396,24828,106963
201920,Academic year,National,E92000001,England,POLAR,Unknown,35.6,8.2,510,118,1432
201920,Academic year,National,E92000001,England,Looked After Status,Looked after continuously for 12 months or more,13.0,2.0,460,60,3640
201920,Academic year,National,E92000001,England,Looked After Status,All Other Pupils,43.0,12.0,232950,66790,537380
201920,Academic year,National,E92000001,England,Children in Need,Children in Need,12.0,2.0,1910,320,16270
201920,Academic year,National,E92000001,England,Children in Need,All Other Pupils,44.0,13.0,231500,66530,524760
201920,Academic year,National,E92000001,England,SEN Status,Any special educational need,17.5,3.2,13825,2531,79003
201920,Academic year,National,E92000001,England,SEN Status,No Identified special educational need,47.5,13.9,219585,64318,462019
201920,Academic year,National,E92000001,England,Ethnicity Major,White,38.7,11.6,164216,49255,423797
201920,Academic year,National,E92000001,England,Ethnicity Major,Mixed / Multiple ethnic groups,47.6,14.5,10893,3325,22876
201920,Academic year,National,E92000001,England,Ethnicity Major,Asian / Asian British,65.0,17.3,34596,9240,53264
