"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, Qualification group"
"Statistics: Applicants, Placed applicants, Proportion of applicants, Proportion of placed applicants"
"Coverage: UK 18 year olds who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,Qualification group,Applicants,Placed applicants,Proportion of applicants,Proportion of placed applicants
2021,"Not care experienced","A level & Cambridge Technicals","5,010","4,430","1.6%","1.6%"
2021,"Not care experienced","Other","43,480","35,240","14.2%","13.0%"
2021,"Care experienced","A level Only (With extended project)","120","110","5.2%","5.6%"
2021,"Care experienced","A level Only (Without extended project)","780","700","34.8%","36.4%"
2021,"Care experienced","BTEC Only","340","290","15.4%","15.2%"
2021,"Care experienced","A level & BTEC","210","190","9.2%","9.8%"
2021,"Care experienced","SQA Only","150","130","6.7%","6.7%"
2021,"Care experienced","IB Only","10","10","",""
2021,"Care experienced","A level & WB","30","30","1.3%","1.5%"
2021,"Care experienced","Cambridge Technicals only","30","30","1.3%","1.4%"
2021,"Care experienced","A level & Cambridge Technicals","50","50","2.2%","2.4%"
2021,"Care experienced","Other","520","390","23.4%","20.6%"
2022,"Not care experienced","A level Only (With extended project)","34,650","31,250","10.8%","11.5%"
2022,"Not care experienced","A level Only (Without extended project)","141,160","123,980","44.2%","45.5%"
2022,"Not care experienced","BTEC Only","27,510","22,740","8.6%","8.4%"
2022,"Not care experienced","A level & BTEC","23,940","20,940","7.5%","7.7%"
2022,"Not care experienced","SQA Only","19,210","16,110","6.0%","5.9%"
2022,"Not care experienced","IB Only","2,600","2,280","0.8%","0.8%"
2022,"Not care experienced","A level & WB","6,030","5,450","1.9%","2.0%"
2022,"Not care experienced","Cambridge Technicals only","3,240","2,560","1.0%","0.9%"
2022,"Not care experienced","Access to HE only","40","30","0.0%","0.0%"
2022,"Not care experienced","A level & Cambridge Technicals","5,710","4,940","1.8%","1.8%"
2022,"Not care experienced","Other","55,530","42,090","17.4%","15.5%"
2022,"Care experienced","A level Only (With extended project)","210","190","5.7%","6.3%"
2022,"Care experienced","A level Only (Without extended project)","1,270","1,110","34.7%","36.9%"
2022,"Care experienced","BTEC Only","460","390","12.5%","12.8%"
2022,"Care experienced","A level & BTEC","300","260","8.0%","8.7%"
2022,"Care experienced","SQA Only","240","200","6.5%","6.5%"
2022,"Care experienced","IB Only","20","20","0.6%","0.7%"
2022,"Care experienced","A level & WB","60","50","1.6%","1.7%"
2022,"Care experienced","Cambridge Technicals only","50","40","1.3%","1.2%"
2022,"Care experienced","A level & Cambridge Technicals","60","50","1.6%","1.7%"
2022,"Care experienced","Other","1,010","710","27.4%","23.6%"
