"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, Qualification group"
"Statistics: Applicants, Placed applicants, Proportion of applicants, Proportion of placed applicants"
"Coverage: UK applicants who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,Qualification group,Applicants,Placed applicants,Proportion of applicants,Proportion of placed applicants
2021,"Not care experienced","SQA Only","36,990","27,990","6.7%","6.3%"
2021,"Not care experienced","IB Only","2,910","2,630","0.5%","0.6%"
2021,"Not care experienced","A level & WB","6,200","5,730","1.1%","1.3%"
2021,"Not care experienced","Cambridge Technicals only","3,290","2,720","0.6%","0.6%"
2021,"Not care experienced","Access to HE only","19,870","16,400","3.6%","3.7%"
2021,"Not care experienced","A level & Cambridge Technicals","5,470","4,840","1.0%","1.1%"
2021,"Not care experienced","Other","197,720","132,690","35.8%","29.9%"
2021,"Care experienced","A level Only (With extended project)","150","130","2.0%","2.7%"
2021,"Care experienced","A level Only (Without extended project)","1,060","940","14.8%","18.8%"
2021,"Care experienced","BTEC Only","630","540","8.8%","10.7%"
2021,"Care experienced","A level & BTEC","240","220","3.4%","4.4%"
2021,"Care experienced","SQA Only","400","300","5.6%","6.1%"
2021,"Care experienced","IB Only","20","10","0.2%",""
2021,"Care experienced","A level & WB","40","30","0.5%","0.7%"
2021,"Care experienced","Cambridge Technicals only","50","40","0.7%","0.8%"
2021,"Care experienced","Access to HE only","590","460","8.2%","9.1%"
2021,"Care experienced","A level & Cambridge Technicals","60","50","0.8%","1.0%"
2021,"Care experienced","Other","3,920","2,280","54.9%","45.5%"
2022,"Not care experienced","A level Only (With extended project)","38,290","34,530","7.0%","8.0%"
2022,"Not care experienced","A level Only (Without extended project)","171,560","150,510","31.2%","34.7%"
2022,"Not care experienced","BTEC Only","39,340","32,690","7.1%","7.5%"
2022,"Not care experienced","A level & BTEC","25,430","22,260","4.6%","5.1%"
2022,"Not care experienced","SQA Only","36,690","28,220","6.7%","6.5%"
2022,"Not care experienced","IB Only","2,870","2,510","0.5%","0.6%"
2022,"Not care experienced","A level & WB","6,220","5,620","1.1%","1.3%"
2022,"Not care experienced","Cambridge Technicals only","4,230","3,370","0.8%","0.8%"
2022,"Not care experienced","Access to HE only","16,820","14,090","3.1%","3.2%"
2022,"Not care experienced","A level & Cambridge Technicals","6,010","5,190","1.1%","1.2%"
2022,"Not care experienced","Other","203,100","135,090","36.9%","31.1%"
2022,"Care experienced","A level Only (With extended project)","250","220","2.8%","3.5%"
2022,"Care experienced","A level Only (Without extended project)","1,680","1,450","18.8%","22.6%"
2022,"Care experienced","BTEC Only","750","620","8.4%","9.7%"
2022,"Care experienced","A level & BTEC","340","300","3.8%","4.6%"
2022,"Care experienced","SQA Only","560","410","6.3%","6.4%"
2022,"Care experienced","IB Only","30","30","0.3%","0.4%"
2022,"Care experienced","A level & WB","70","60","0.7%","0.9%"
2022,"Care experienced","Cambridge Technicals only","70","50","0.7%","0.8%"
2022,"Care experienced","Access to HE only","580","450","6.5%","7.1%"
2022,"Care experienced","A level & Cambridge Technicals","70","60","0.8%","1.0%"
2022,"Care experienced","Other","4,550","2,770","51.0%","43.1%"
