"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, BTEC Extended Diploma profile"
"Statistics: Applicants, Placed applicants, Proportion of applicants, Proportion of placed applicants"
"Coverage: UK 18 year olds with a BTEC Extended Diploma, who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,BTEC Extended Diploma profile,Applicants,Placed applicants,Proportion of applicants,Proportion of placed applicants
2022,"Not care experienced","MPP","1,010","700","4.1%","3.5%"
2022,"Not care experienced","MMP","1,350","1,010","5.5%","5.0%"
2022,"Not care experienced","MMM","2,050","1,610","8.3%","7.9%"
2022,"Not care experienced","DMM","2,620","2,160","10.6%","10.6%"
2022,"Not care experienced","DDM","2,980","2,530","12.1%","12.5%"
2022,"Not care experienced","DDD","3,050","2,550","12.4%","12.6%"
2022,"Not care experienced","D*DD","3,330","2,840","13.5%","14.0%"
2022,"Not care experienced","D*D*D","3,610","3,080","14.6%","15.2%"
2022,"Not care experienced","D*D*D*","4,070","3,470","16.5%","17.1%"
2022,"Care experienced","PPP","20","10","3.9%",""
2022,"Care experienced","MPP","30","20","6.8%","5.3%"
2022,"Care experienced","MMP","40","30","10.0%","9.4%"
2022,"Care experienced","MMM","40","30","8.5%","9.1%"
2022,"Care experienced","DMM","50","40","11.2%","10.9%"
2022,"Care experienced","DDM","60","60","15.6%","16.5%"
2022,"Care experienced","DDD","50","50","12.7%","13.3%"
2022,"Care experienced","D*DD","60","50","13.9%","14.5%"
2022,"Care experienced","D*D*D","40","40","9.8%","10.6%"
2022,"Care experienced","D*D*D*","30","20","7.6%","6.8%"
