"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, Disability"
"Statistics: Applicants, Placed applicants, Proportion of applicants, Proportion of placed applicants"
"Coverage: UK applicants who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,Disability,Applicants,Placed applicants,Proportion of applicants,Proportion of placed applicants
2021,"Not care experienced","Other condition or impairment","6,490","5,360","1.2%","1.2%"
2021,"Not care experienced","Two or more impairments","5,320","4,310","1.0%","1.0%"
2021,"Care experienced","No impairment","5,330","3,760","74.7%","75.0%"
2021,"Care experienced","Social, behavioural or communication impairment","180","140","2.5%","2.7%"
2021,"Care experienced","Visual impairment","10","10","",""
2021,"Care experienced","Hearing impairment","20","10","0.3%",""
2021,"Care experienced","Long-term illness or health condition","100","60","1.4%","1.1%"
2021,"Care experienced","Mental health condition, challenge or disorder","670","470","9.4%","9.3%"
2021,"Care experienced","Learning difference","500","350","7.0%","6.9%"
2021,"Care experienced","Physical impairment or challenges with mobility","30","20","0.4%","0.3%"
2021,"Care experienced","Other condition or impairment","110","90","1.6%","1.8%"
2021,"Care experienced","Two or more impairments","180","120","2.6%","2.4%"
2022,"Not care experienced","No impairment","462,550","364,590","84.0%","84.0%"
2022,"Not care experienced","Social, behavioural or communication impairment","7,870","6,480","1.4%","1.5%"
2022,"Not care experienced","Visual impairment","740","590","0.1%","0.1%"
2022,"Not care experienced","Hearing impairment","1,450","1,140","0.3%","0.3%"
2022,"Not care experienced","Long-term illness or health condition","6,000","4,600","1.1%","1.1%"
2022,"Not care experienced","Mental health condition, challenge or disorder","25,700","20,000","4.7%","4.6%"
2022,"Not care experienced","Learning difference","30,070","23,720","5.5%","5.5%"
2022,"Not care experienced","Physical impairment or challenges with mobility","1,450","1,120","0.3%","0.3%"
2022,"Not care experienced","Other condition or impairment","7,200","5,760","1.3%","1.3%"
2022,"Not care experienced","Two or more impairments","7,540","6,100","1.4%","1.4%"
2022,"Care experienced","No impairment","6,150","4,420","68.9%","68.9%"
2022,"Care experienced","Social, behavioural or communication impairment","230","160","2.6%","2.5%"
2022,"Care experienced","Visual impairment","20","20","0.3%","0.3%"
2022,"Care experienced","Hearing impairment","30","20","0.3%","0.3%"
2022,"Care experienced","Long-term illness or health condition","130","100","1.5%","1.5%"
2022,"Care experienced","Mental health condition, challenge or disorder","1,120","800","12.5%","12.4%"
2022,"Care experienced","Learning difference","700","500","7.8%","7.7%"
2022,"Care experienced","Physical impairment or challenges with mobility","50","40","0.6%","0.5%"
2022,"Care experienced","Other condition or impairment","160","110","1.8%","1.8%"
2022,"Care experienced","Two or more impairments","340","260","3.8%","4.0%"
